,Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.,Tit
283,2335,Dc,LUIZ FELIPE,Lazio,8,8,0,0.8
284,2062,Dc,BASTOS,Lazio,8,8,0,0.55
285,287,Dd;Dc,CACERES,Lazio,6,6,0,0.65
286,2284,Pc,CAICEDO,Lazio,5,5,0,0.45
287,1999,E,LUKAKU J,Lazio,5,5,0,
288,2772,Ds;E,DURMISI,Lazio,5,5,0,0.5
289,2007,Dc,WALLACE,Lazio,5,5,0,0.55
290,333,M;C,CATALDI,Lazio,4,4,0,0.3
291,2040,W;A,LOMBARDI,Lazio,3,3,0,0.45
292,2003,M;C,MURGIA,Lazio,3,3,0,0.4
293,319,Dd;E,BASTA,Lazio,3,3,0,0.45
294,1936,M;C,MINALA,Lazio,2,2,0,
295,327,Dd;Ds;E,PATRIC,Lazio,2,2,0,0.35
296,317,Por,GUERRIERI,Lazio,1,1,0,0.1
297,2770,Por,PROTO,Lazio,1,1,0,0.3
298,2108,Pc,ROSSI A,Lazio,1,1,0,
299,2332,C,BRUNO JORDAO,Lazio,1,1,0,0.2
300,2333,A,PEDRO NETO,Lazio,1,1,0,0.3
301,408,Pc,HIGUAIN,Milan,33,33,0,0.9
302,375,T;A,SUSO,Milan,23,23,0,0.9
303,367,C;W;T,BONAVENTURA,Milan,22,22,0,0.85
304,2194,T;A,CALHANOGLU,Milan,21,21,0,0.85
305,2692,W;A,CASTILLEJO,Milan,18,18,0,0.55
306,2155,Pc,CUTRONE,Milan,16,16,0,0.6
307,2639,M;C,BAKAYOKO,Milan,14,14,0,0.8
308,1850,M;C,KESSIE,Milan,14,14,0,0.9
309,350,Por,DONNARUMMA G,Milan,12,12,0,
310,1847,Dc,CALDARA,Milan,12,12,0,0.9
311,331,M;C,BIGLIA,Milan,10,10,0,0.8
312,235,E,LAXALT,Milan,10,10,0,0.6
313,460,Dc,ROMAGNOLI A,Milan,10,10,0,
314,2169,Ds;E,RODRIGUEZ R,Milan,8,8,0,
315,11,Dd;E,CONTI,Milan,7,7,0,0.65
316,366,C,BERTOLACCI,Milan,7,7,0,0.5
317,2187,W,BORINI,Milan,6,6,0,0.55
318,357,Dd;E,CALABRIA,Milan,6,6,0,0.65
319,395,Ds;E,STRINIC,Milan,5,5,0,0.55
320,2168,Dc,MUSACCHIO,Milan,5,5,0,0.5
321,372,M;C,MONTOLIVO,Milan,4,4,0,0.4
