;Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.;Tit
463;2646;"M;C";SANDRO;Genoa;11;11;0;0.9
492;78;Dc;SPOLLI;Genoa;6;6;0;0.75
541;2761;Por;VODISEK;Genoa;1;1;0;0.1
546;2842;A;ZANIMACCHIA;Genoa;1;1;0;0.2
552;493;"Ds;Dc";ZUKANOVIC;Genoa;6;6;0;0.45
17;295;"Ds;E";ASAMOAH;Inter;9;9;0;0.8
34;2120;Dc;BASTONI;Inter;1;1;0;0.2
51;248;Por;BERNI;Inter;1;1;0;0.1
66;172;C;BORJA VALERO;Inter;5;5;0;0.45
73;265;"C;T";BROZOVIC;Inter;15;15;0;0.8
89;332;W;CANDREVA;Inter;14;14;0;0.65
112;2844;Pc;COLIDIO;Inter;1;1;0;0.1
131;253;"Dd;Ds;E";D'AMBROSIO;Inter;9;9;0;0.55
135;2289;"Ds;E";DALBERT;Inter;3;3;0;0.4
144;322;Dc;DE VRIJ;Inter;17;17;0;0.9
181;2843;C;EMMERS;Inter;1;1;0;0
205;801;"M;C";GAGLIARDINI;Inter;7;7;0;0.7
234;250;Por;HANDANOVIC;Inter;16;16;0;0.9
245;277;Pc;ICARDI;Inter;39;39;0;0.9
262;2325;A;KARAMOH;Inter;9;9;0;0.5
326;2764;Pc;MARTINEZ L;Inter;16;16;0;0.55
347;257;Dc;MIRANDA;Inter;7;7;0;0.55
362;467;"C;T";NAINGGOLAN;Inter;25;25;0;0.9
375;543;Por;PADELLI;Inter;1;1;0;0.2
401;704;"W;A";PERISIC;Inter;30;30;0;0.9
409;2038;Pc;PINAMONTI;Inter;6;6;0;0
416;536;A;POLITANO;Inter;15;15;0;0.65
434;261;Dc;RANOCCHIA;Inter;4;4;0;0.4
460;2304;Pc;SALCEDO MORA;Inter;1;1;0;0.2
487;798;Dc;SKRINIAR;Inter;16;16;0;0.9
526;181;"M;C";VECINO;Inter;10;10;0;0.55
553;234512;"Dd;E";VRSALJKO;Inter;14;14;0;0.75
6;662;"Ds;E";ALEX SANDRO;Juventus;17;17;0;0.9
31;285;Dc;BARZAGLI;Juventus;3;3;0;0.25
42;1931;Dc;BENATIA;Juventus;10;10;0;0.4
44;2166;C;BENTANCUR;Juventus;7;7;0;0.45
50;184;"W;A";BERNARDESCHI;Juventus;17;17;0;0.45
64;286;Dc;BONUCCI;Juventus;12;12;0;0.85
87;2504;"M;C";CAN;Juventus;21;21;0;0.65
88;2310;"Dd;E";CANCELO;Juventus;14;14;0;0.7
103;288;Dc;CHIELLINI;Juventus;12;12;0;0.85
126;2610;Pc;CRISTIANO RONALDO;Juventus;49;49;0;0.8
128;697;W;CUADRADO;Juventus;19;19;0;0.55
142;358;"Dd;Ds;E";DE SCIGLIO;Juventus;8;8;0;0.35
171;2200;W;DOUGLAS COSTA;Juventus;26;26;0;0.65
175;309;A;DYBALA;Juventus;37;37;0;0.8
191;819;Pc;FAVILLI;Juventus;9;9;0;0
266;2097;Pc;KEAN;Juventus;6;6;0;0
268;299;C;KHEDIRA;Juventus;16;16;0;0.55
319;312;Pc;MANDZUKIC;Juventus;17;17;0;0.55
323;300;"M;C";MARCHISIO;Juventus;5;5;0;0.55
331;2306;"M;C";MATUIDI;Juventus;16;16;0;0.7
400;218;Por;PERIN;Juventus;1;1;0;0.5
410;1930;Por;PINSOGLIO;Juventus;1;1;0;0.2
412;1998;A;PJACA;Fiorentina;16;16;0;0.5
413;469;C;PJANIC;Juventus;18;18;0;0.85
456;294;Dc;RUGANI;Juventus;8;8;0;0.2
491;1852;"Ds;E";SPINAZZOLA;Juventus;6;6;0;0.5
503;305;"M;C";STURARO;Juventus;3;3;0;0.4
506;453;Por;SZCZESNY;Juventus;18;18;0;0.8
1;513;Dc;ACERBI;Lazio;12;12;0;0.9
33;319;"Dd;E";BASTA;Lazio;3;3;0;0.55
35;2062;Dc;BASTOS;Lazio;8;8;0;0.4
49;2771;"C;T";BERISHA V;Lazio;10;10;0;0.65
75;2332;C;BRUNO JORDAO;Lazio;1;1;0;0
77;287;"Dd;Dc";CACERES;Lazio;6;6;0;0.75
78;2284;Pc;CAICEDO;Lazio;5;5;0;0.45
97;333;"M;C";CATALDI;Lazio;4;4;0;0.8
155;1873;C;DI GENNARO D;Lazio;1;1;0;0.3
174;2772;"Ds;E";DURMISI;Lazio;5;5;0;0
227;317;Por;GUERRIERI;Lazio;1;1;0;0
248;785;Pc;IMMOBILE;Lazio;41;41;0;0.9
301;2040;"W;A";LOMBARDI;Lazio;3;3;0;0.6
302;2209;"M;C";LUCAS LEIVA;Lazio;13;13;0;0.9
303;2085;"T;A";LUIS ALBERTO;Lazio;26;26;0;0.9
304;2335;Dc;LUIZ FELIPE;Lazio;8;8;0;0.8
305;1999;E;LUKAKU J;Lazio;5;5;0;0.2
307;338;"E;C";LULIC;Lazio;13;13;0;0.9
327;2188;E;MARUSIC;Lazio;11;11;0;0.85
344;645;"C;T";MILINKOVIC-SAVIC;Lazio;29;29;0;0.9
346;1936;"M;C";MINALA;Lazio;2;2;0;0
356;2003;"M;C";MURGIA;Lazio;3;3;0;0.4
384;342;"M;C";PAROLO;Lazio;14;14;0;0.9
388;327;"Dd;Ds;E";PATRIC;Lazio;2;2;0;0.35
391;2333;A;PEDRO NETO;Lazio;1;1;0;
420;2770;Por;PROTO;Lazio;1;1;0;0
427;329;"Ds;Dc";RADU;Lazio;9;9;0;0.9
494;2773;"T;A";SPROCATI;Lazio;1;1;0;0
498;1934;Por;STRAKOSHA;Lazio;12;12;0;0.9
543;2007;Dc;WALLACE;Lazio;5;5;0;0.65
0;353;"Dd;E";ABATE;Milan;3;3;0;0.45
9;2175;Pc;ANDRE' SILVA;Milan;10;10;0;0.6
14;356;"Ds;E";ANTONELLI;Milan;4;4;0;0.45
52;366;C;BERTOLACCI;Milan;7;7;0;0.8
56;331;"M;C";BIGLIA;Milan;10;10;0;0.75
62;367;"C;W;T";BONAVENTURA;Milan;22;22;0;0.85
65;2187;W;BORINI;Milan;6;6;0;0.6
80;357;"Dd;E";CALABRIA;Milan;6;6;0;0.7
82;1847;Dc;CALDARA;Milan;12;12;0;0.9
83;2194;"T;A";CALHANOGLU;Milan;21;21;0;0.85
116;11;"Dd;E";CONTI;Milan;7;7;0;0.6
129;2155;Pc;CUTRONE;Milan;16;16;0;0.75
168;216;Por;DONNARUMMA A;Milan;1;1;0;0.3
169;350;Por;DONNARUMMA G;Milan;12;12;0;0.8
204;385;Por;GABRIEL;Milan;1;1;0;0
219;2052;Dc;GOMEZ G;Milan;2;2;0;0
229;2774;T;HALILOVIC;Milan;2;2;0;0
239;408;Pc;HIGUAIN;Milan;33;33;0;0.9
261;652;Pc;KALINIC;Milan;14;14;0;0.45
267;1850;"M;C";KESSIE';Milan;14;14;0;0.9
299;827;"M;C";LOCATELLI M;Milan;7;7;0;0.55
332;371;"M;C";MAURI J;Milan;1;1;0;0
352;372;"M;C";MONTOLIVO;Milan;4;4;0;0.55
358;2168;Dc;MUSACCHIO;Milan;5;5;0;0.6
414;2091;Por;PLIZZARI;Milan;1;1;0;0
438;387;Por;REINA;Milan;1;1;0;0.4
446;2169;"Ds;E";RODRIGUEZ R;Milan;8;8;0;0.9
450;460;Dc;ROMAGNOLI A;Milan;10;10;0;0.9
484;362;Dc;SIMIC S;Milan;2;2;0;0
499;395;"Ds;E";STRINIC;Milan;5;5;0;0.75
504;375;"T;A";SUSO;Milan;23;23;0;0.9
548;365;Dc;ZAPATA C;Milan;4;4;0;0.55
5;388;Dc;ALBIOL;Napoli;13;13;0;0.9
7;397;"M;C";ALLAN;Napoli;18;18;0;0.9
86;406;"W;A";CALLEJON;Napoli;25;25;0;0.9
105;640;Dc;CHIRICHES;Napoli;3;3;0;0.5
117;2845;Por;CONTINI N;Napoli;1;1;0;0
157;58;"M;C";DIAWARA;Napoli;10;10;0;0.7
213;390;"Ds;E";GHOULAM;Napoli;9;9;0;0.5
226;27;C;GRASSI;Napoli;9;9;0;0.75
231;402;"C;T";HAMSIK;Napoli;15;15;0;0.85
242;140;"Dd;Ds;E";HYSAJ;Napoli;10;10;0;0.9
251;123;Pc;INGLESE;Napoli;12;12;0;0.5
252;409;A;INSIGNE;Napoli;28;28;0;0.9
263;570;Por;KARNEZIS;Napoli;1;1;0;0
276;392;Dc;KOULIBALY;Napoli;17;17;0;0.9
308;393;"Ds;Dc";LUPERTO;Napoli;2;2;0;0
316;550;Dc;MAKSIMOVIC;Napoli;4;4;0;0.45
325;142;"Ds;E";MARIO RUI;Napoli;8;8;0;0.5
339;572;Por;MERET;Napoli;14;14;0;0.85
340;410;A;MERTENS;Napoli;32;32;0;0.8
343;2012;Pc;MILIK;Napoli;25;25;0;0.75
374;2195;A;OUNAS;Napoli;7;7;0;0.5
447;2076;"C;T";ROG;Napoli;5;5;0;0.45
457;2775;"C;T";RUIZ;Napoli;14;14;0;0.65
514;144;Dc;TONELLI;Napoli;6;6;0;0.4
529;376;"T;A";VERDI;Napoli;18;18;0;0.7
544;2776;A;YOUNES;Napoli;3;3;0;0
551;152;"C;T";ZIELINSKI;Napoli;14;14;0;0.8
25;2805;A;BARAYE;Parma;5;5;0;0
28;2802;C;BARILLA';Parma;2;2;0;0
74;1864;Dc;BRUNO ALVES;Parma;5;5;0;0.6
81;2806;Pc;CALAIO';Parma;1;1;0;0.6
100;2246;Pc;CERAVOLO;Parma;10;10;0;0.8
107;2243;"W;T";CICIRETTI;Parma;14;14;0;0.45
133;2807;A;DA CRUZ;Parma;5;5;0;0
151;400;C;DEZI;Parma;5;5;0;0
152;2800;Dc;DI CESARE;Parma;3;3;0;0
154;81;"W;A";DI GAUDIO;Parma;4;4;0;0.85
161;254;"Ds;E";DIMARCO;Parma;5;5;0;0
162;2798;Por;DINI;Parma;1;1;0;0
199;2799;Por;FRATTALI;Parma;1;1;0;0
206;73;"Ds;Dc";GAGLIOLO;Parma;7;7;0;0
210;519;"Dd;E";GAZZOLA;Parma;5;5;0;0.5
215;105;"Ds;E";GOBBI;Parma;2;2;0;0.75
243;2801;"Dd;Dc";IACOPONI;Parma;3;3;0;0
355;1875;"M;C";MUNARI;Parma;1;1;0;0
441;438;C;RIGONI L;Parma;7;7;0;0.7
471;2803;C;SCAVONE;Parma;2;2;0;0
474;2804;"M;C";SCOZZARELLA;Parma;2;2;0;0
478;159;Por;SEPE;Parma;6;6;0;0.2
480;637;A;SILIGARDI;Parma;7;7;0;0
502;2778;"M;C";STULAC;Parma;5;5;0;0.9
55;2783;Dc;BIANDA;Roma;1;1;0;0
118;2780;"C;T";CORIC;Roma;3;3;0;0.5
125;779;"C;T";CRISTANTE;Roma;18;18;0;0.9
141;463;"M;C";DE ROSSI;Roma;8;8;0;0.75
176;647;Pc;DZEKO;Roma;35;35;0;0.9
179;795;A;EL SHAARAWY;Roma;16;16;0;0.75
192;2016;Dc;FAZIO;Roma;11;11;0;0.85
197;464;"Dd;E";FLORENZI;Roma;14;14;0;0.9
203;2781;Por;FUZATO;Roma;1;1;0;0
221;2193;"M;C";GONALONS;Roma;4;4;0;0.5
259;256;"Ds;Dc";JUAN JESUS;Roma;7;7;0;0.7
264;2180;"Dd;E";KARSDORP;Roma;6;6;0;0
271;2779;A;KLUIVERT;Roma;18;18;0;0.7
272;2214;"Ds;E";KOLAROV;Roma;17;17;0;0.9
320;459;Dc;MANOLAS;Roma;12;12;0;0.9
321;2782;Dc;MARCANO;Roma;7;7;0;0
348;41;Por;MIRANTE;Roma;1;1;0;0.9
370;2836;Por;OLSEN;Roma;14;14;0;0.9
387;2378;"C;T";PASTORE;Roma;23;23;0;0.8
394;530;C;PELLEGRINI;Roma;13;13;0;0.7
395;2728;"Ds;E";PELLEGRINI LU;Roma;3;3;0;0
402;237;"W;T";PEROTTI;Roma;17;17;0;0.65
439;2852;"C;T";RICCARDI;Roma;1;1;0;0
465;262;"Dd;Ds;E";SANTON;Roma;4;4;0;0.4
473;1974;Pc;SCHICK;Roma;16;16;0;0.65
500;470;"M;C";STROOTMAN;Roma;12;12;0;0.75
518;2201;A;UNDER;Roma;22;22;0;0.85
528;215;"W;A";VERDE;Roma;2;2;0;0.45
547;2766;"C;T";ZANIOLO;Roma;1;1;0;
8;2320;Dc;ANDERSEN;Sampdoria;6;6;0;0.3
18;761;Por;AUDERO;Sampdoria;9;9;0;0.9
29;494;"M;C";BARRETO E;Sampdoria;6;6;0;0.7
36;2846;"C;T";BAUMGARTNER;Sampdoria;1;1;0;0.3
39;720;Por;BELEC;Sampdoria;1;1;0;0.3
47;2104;"Dd;E";BERESZYNSKI;Sampdoria;7;7;0;0.65
90;173;"M;C";CAPEZZI;Sampdoria;5;5;0;0.3
91;1958;"T;A";CAPRARI;Sampdoria;11;11;0;0.65
113;2784;Dc;COLLEY;Sampdoria;7;7;0;0.9
145;643;Pc;DEFREL;Sampdoria;19;19;0;0.5
186;2134;Por;FALCONE;Sampdoria;1;1;0;0
194;45;"Dd;Dc";FERRARI A;Sampdoria;5;5;0;0.8
256;1987;C;JANKTO;Sampdoria;15;15;0;0.9
260;2797;"Ds;E";JUNIOR TAVARES;Sampdoria;3;3;0;0
277;2198;Pc;KOWNACKI;Sampdoria;11;11;0;0.65
295;2300;Dc;LEVERBE;Sampdoria;1;1;0;0
296;2008;C;LINETTY;Sampdoria;6;6;0;0.8
357;1868;"Ds;E";MURRU;Sampdoria;6;6;0;0
392;2785;"M;C";PEETERS;Sampdoria;1;1;0;0
419;2065;"C;T";PRAET;Sampdoria;10;10;0;0.8
425;568;Pc;QUAGLIARELLA;Sampdoria;27;27;0;0.9
431;386;Por;RAFAEL CABRAL;Sampdoria;1;1;0;0.4
433;2287;T;RAMIREZ;Sampdoria;14;14;0;0.7
437;490;"Ds;Dc";REGINI;Sampdoria;3;3;0;0.5
458;630;"Dd;E";SALA;Sampdoria;3;3;0;0.5
481;492;Dc;SILVESTRE;Sampdoria;7;7;0;0
483;2129;Dc;SIMIC L;Sampdoria;2;2;0;0
497;2732;"W;A";STIJEPOVIC;Sampdoria;1;1;0;0
515;1970;Por;TOZZO;Sampdoria;1;1;0;0
531;600;C;VERRE;Sampdoria;2;2;0;0.45
3;824;"Dd;E";ADJAPONG;Sassuolo;3;3;0;0.6
20;183;Pc;BABACAR;Sassuolo;13;13;0;0.75
